ENSPID,UniProtID,MolecularWeight
ENSP00000325074,P63151,51692.0
ENSP00000347836,P62256,20655.0
ENSP00000352779,Q15043,54212.0
ENSP00000376297,P63167,10366.0
ENSP00000418803,Q9NPL8,32178.0
ENSP00000280987,Q8N128,23757.0
ENSP00000403524,Q7Z569,67305.0
ENSP00000396704,Q02880,183267.0
ENSP00000319739,Q14257,36876.0
ENSP00000361642,Q9HAB8,34005.0
ENSP00000266970,P24941,33930.0
ENSP00000352706,Q6NVY1,43482.0
ENSP00000293872,Q9NQ29,43728.0
ENSP00000357836,Q96L92,61265.0
ENSP00000377944,Q9BVJ6,87978.0
ENSP00000361965,P00813,40764.0
ENSP00000222219,O00115,39581.0
ENSP00000358272,Q9P032,20266.0
ENSP00000005260,Q9UHR4,56883.0
ENSP00000261714,Q13867,52562.0
ENSP00000345702,P23511,36877.0
ENSP00000265857,Q7L5D6,36504.0
ENSP00000442308,O15226,77673.0
ENSP00000231668,Q12981,26132.0
ENSP00000358812,Q14690,208701.0
ENSP00000355541,Q9H583,242370.0
ENSP00000225729,P55039,40746.0
ENSP00000367623,Q0VDF9,54794.0
ENSP00000296585,P17301,129296.0
ENSP00000356218,Q9UHQ9,34095.0
ENSP00000300131,Q15742,56594.0
ENSP00000372955,Q96FZ2,40575.0
ENSP00000343867,Q96E11,29277.0
ENSP00000319992,P17152,21541.0
ENSP00000259632,O75935,21119.0
ENSP00000365312,Q8IZP0,55081.0
ENSP00000405575,,
ENSP00000444810,Q13451,51212.0
ENSP00000367841,P51808,13062.0
ENSP00000435585,Q9H6S3,80621.0
ENSP00000292314,J3KR35,20501.0
ENSP00000381461,Q9Y570,42315.0
ENSP00000294179,Q13190,39673.0
ENSP00000267615,Q13572,45621.0
ENSP00000362711,P40222,61891.0
ENSP00000363642,Q14692,145807.0
ENSP00000288022,Q9HBH1,27013.0
ENSP00000361383,Q9BQI0,17068.0
ENSP00000380159,Q96CP2,14564.0
ENSP00000377664,Q14C86,164980.0
ENSP00000410396,Q9BQ75,31884.0
ENSP00000264605,Q9BV36,65949.0
ENSP00000350949,Q96IJ6,46291.0
ENSP00000336994,O96005,76097.0
ENSP00000422753,A0A499FJW5,35541.0
ENSP00000358099,O43665,21210.0
ENSP00000376077,P63165,11557.0
ENSP00000384109,A0A804CL36,96264.0
ENSP00000287600,O43924,17420.0
ENSP00000403614,Q7Z7F7,15128.0
ENSP00000295119,Q8NFH5,34774.0
ENSP00000359130,Q8NEW0,41626.0
ENSP00000378743,P27144,25268.0
ENSP00000363162,O75348,13758.0
ENSP00000424328,Q9NP92,50365.0
ENSP00000370128,P30825,67638.0
ENSP00000473290,H0UI80,67347.0
ENSP00000250237,Q9BXR0,44048.0
ENSP00000306670,Q9BRJ7,23338.0
ENSP00000468424,P30419,56806.0
ENSP00000262640,P51809,24935.0
ENSP00000362208,P82914,29842.0
ENSP00000291634,Q9NSI2,25456.0
ENSP00000420714,O60783,15139.0
ENSP00000251968,Q99816,43944.0
ENSP00000335060,Q96IR7,39386.0
ENSP00000367721,A0A8V8NBT1,158725.0
ENSP00000340510,O60437,204747.0
ENSP00000269601,P83876,16786.0
ENSP00000301740,Q9UQ35,299615.0
ENSP00000442699,O43719,85853.0
ENSP00000259335,J3KN16,223694.0
ENSP00000331201,O14964,86192.0
ENSP00000355094,Q96PU8,37671.0
ENSP00000238831,Q9BSR8,27083.0
ENSP00000232888,O43818,51841.0
ENSP00000337445,Q9BQ52,92219.0
ENSP00000222330,P49840,50981.0
ENSP00000238112,Q9UKF6,77486.0
ENSP00000362298,O95470,63524.0
ENSP00000470252,O00267,121000.0
ENSP00000263579,Q96C86,38609.0
ENSP00000257245,P62072,10333.0
ENSP00000254480,Q92922,122867.0
ENSP00000428209,Q15819,16363.0
ENSP00000335632,Q99653,22456.0
ENSP00000274712,Q96NC0,23612.0
ENSP00000328773,O94992,40623.0
ENSP00000423067,,
ENSP00000387699,P16220,35136.0
ENSP00000359484,Q8IYB5,50386.0
ENSP00000257181,Q8NAV1,37477.0
ENSP00000297338,O60216,71690.0
ENSP00000311677,Q12972,38479.0
ENSP00000327436,Q86TU7,67257.0
ENSP00000340823,P13984,28380.0
ENSP00000278422,Q9Y320,34038.0
ENSP00000265164,P55212,33310.0
ENSP00000276590,Q53H82,32806.0
ENSP00000231238,Q99614,33526.0
ENSP00000407182,O14787,101388.0
ENSP00000241502,Q96QD9,35818.0
ENSP00000347408,Q9Y2T2,46939.0
ENSP00000341779,P36873,36984.0
ENSP00000262633,Q9BTD8,50414.0
ENSP00000263735,P16422,34932.0
ENSP00000380557,Q9ULX6,71640.0
ENSP00000252599,Q8NBJ5,71636.0
ENSP00000314441,Q9UBP6,31471.0
ENSP00000301585,Q14197,23630.0
ENSP00000450864,Q6IN85,95368.0
ENSP00000265000,Q86SF2,75389.0
ENSP00000272424,Q9Y3C4,19661.0
ENSP00000246747,P36404,20878.0
ENSP00000226004,P51452,20478.0
ENSP00000313854,Q96KA5,62229.0
ENSP00000261813,O60925,14210.0
ENSP00000334538,Q8WXA9,59380.0
ENSP00000455625,P56211,12323.0
ENSP00000362931,Q96SB4,74325.0
ENSP00000399805,Q08257,35207.0
ENSP00000338034,Q8WW59,23098.0
ENSP00000300030,Q9H5X1,18355.0
ENSP00000377969,P35269,58240.0
ENSP00000395654,P51532,184646.0
ENSP00000300659,Q12968,115594.0
ENSP00000405620,Q7L2E3,133938.0
ENSP00000366557,Q9BZJ0,100452.0
ENSP00000470298,,
ENSP00000263847,P22059,89421.0
ENSP00000259037,O43674,21750.0
ENSP00000340454,P52306,66317.0
ENSP00000473631,Q13217,57580.0
ENSP00000329002,O00165,31621.0
ENSP00000360412,Q8WTT2,92548.0
ENSP00000371101,Q9BSC4,80302.0
ENSP00000345096,P20839,55406.0
ENSP00000383938,Q6UXH1,38192.0
ENSP00000262644,Q9NX62,38681.0
ENSP00000332706,Q00577,34911.0
ENSP00000327255,P35813,42448.0
ENSP00000345575,J3KPS0,45490.0
ENSP00000268802,Q9ULX3,46675.0
ENSP00000347032,Q8TBX8,47300.0
ENSP00000358723,P62834,20987.0
ENSP00000264995,P09001,38633.0
ENSP00000365725,Q8N2K0,45097.0
ENSP00000419235,Q9Y4C2,102126.0
ENSP00000375649,Q96S97,35274.0
ENSP00000340796,Q5BKZ1,65654.0
ENSP00000399797,Q9HCE1,113671.0
ENSP00000244227,Q8WVK2,18860.0
ENSP00000341082,Q9BYC9,17443.0
ENSP00000258301,O43752,29176.0
ENSP00000301838,Q13158,23279.0
ENSP00000307705,P10412,21865.0
ENSP00000316338,Q9UQB8,60868.0
ENSP00000411409,,
ENSP00000388638,Q96I25,44962.0
ENSP00000225298,Q9Y5J1,62004.0
ENSP00000270583,Q8TBB5,57892.0
ENSP00000265872,Q8IX12,132821.0
ENSP00000380466,Q16540,17781.0
ENSP00000301244,O43291,28228.0
ENSP00000469413,O96013,64072.0
ENSP00000216484,O15270,62924.0
ENSP00000396301,Q13123,65602.0
ENSP00000355050,Q8WYA6,65173.0
ENSP00000368455,P50583,16829.0
ENSP00000357823,Q9BYD2,30243.0
ENSP00000345292,Q9UGV2,41409.0
ENSP00000479494,Q5JVF3,46030.0
ENSP00000400717,Q14344,44050.0
ENSP00000356405,Q6P1J9,60577.0
ENSP00000261880,Q6PD74,34594.0
ENSP00000354812,Q5T280,42009.0
ENSP00000468312,O95834,70679.0
ENSP00000335082,Q658Y4,93909.0
ENSP00000309565,P07919,10739.0
ENSP00000436621,Q6P1X6,23889.0
ENSP00000244230,O00566,78864.0
ENSP00000304903,O95400,37646.0
ENSP00000219150,P31146,51026.0
ENSP00000264908,P12429,36375.0
ENSP00000380734,Q52LJ0,45547.0
ENSP00000267257,P49023,64505.0
ENSP00000345282,Q8TD30,57904.0
ENSP00000379975,Q13418,51419.0
ENSP00000364037,Q9NXF1,105674.0
ENSP00000362918,Q9Y5A9,62334.0
ENSP00000441980,Q9Y6K0,46554.0
ENSP00000320236,Q9Y584,20031.0
ENSP00000260443,Q9UHA3,19621.0
ENSP00000216442,Q9Y5K8,28263.0
ENSP00000340944,Q06124,68011.0
ENSP00000376702,P49447,27559.0
ENSP00000304467,P52888,78840.0
ENSP00000364976,P33552,9860.0
ENSP00000298875,Q9P2I0,88487.0
ENSP00000296786,Q8WVY7,36805.0
ENSP00000362153,Q13823,83655.0
ENSP00000363944,Q9Y4W2,83065.0
ENSP00000368688,Q5U5X0,11955.0
ENSP00000439856,Q8IWX8,103702.0
ENSP00000325594,Q96T51,79818.0
ENSP00000258145,P15586,62082.0
ENSP00000371169,Q9Y2P8,40843.0
ENSP00000485061,Q5K4L6,73550.0
ENSP00000366032,Q9UBI1,22151.0
ENSP00000262710,Q9UKV3,151862.0
ENSP00000356056,P63172,12452.0
ENSP00000451828,P31749,55686.0
ENSP00000413908,Q9Y276,47534.0
ENSP00000222214,Q92947,48127.0
ENSP00000374562,Q9P0S2,12293.0
ENSP00000357055,Q15121,15040.0
ENSP00000417078,Q9H2U1,114760.0
ENSP00000220592,Q9UKV8,97208.0
ENSP00000262962,Q9BW85,37086.0
ENSP00000361186,Q96S44,28160.0
ENSP00000390722,O43808,34567.0
ENSP00000357005,Q9Y624,32583.0
ENSP00000446121,A0A0M3HER1,24418.0
ENSP00000253462,Q9Y248,21428.0
ENSP00000318165,Q13438,75562.0
ENSP00000360682,Q9BUH6,21640.0
ENSP00000286548,P50148,42142.0
ENSP00000225519,Q9UHJ6,51505.0
ENSP00000261396,Q8WUM0,128979.0
ENSP00000346890,O43847,131701.0
ENSP00000272430,Q9BST9,62667.0
ENSP00000482767,,
ENSP00000005386,Q9H6T3,75719.0
ENSP00000371155,Q9BVL2,60897.0
ENSP00000438886,Q96JB5,56921.0
ENSP00000412922,,
ENSP00000466718,Q3MHD2,21701.0
ENSP00000353549,Q13042,71656.0
ENSP00000297579,A0A087WT20,67551.0
ENSP00000319231,Q53GA4,17092.0
ENSP00000457243,O60936,22629.0
ENSP00000310596,O15116,15179.0
ENSP00000258201,Q9Y613,126551.0
ENSP00000300574,P46108,33831.0
ENSP00000355299,A0A2U3TZM3,19104.0
ENSP00000361140,P14550,36573.0
ENSP00000356272,,
ENSP00000410964,O75477,39171.0
ENSP00000358071,Q9Y6Y8,111076.0
ENSP00000457258,Q8N543,63246.0
ENSP00000349124,Q9NY27,46898.0
ENSP00000273047,P20339,23659.0
ENSP00000228136,O00193,20333.0
ENSP00000229238,Q4U2R6,15095.0
ENSP00000384886,P13284,27964.0
ENSP00000329471,P24390,24542.0
ENSP00000336752,Q6UN15,66526.0
ENSP00000292431,Q96RE7,57258.0
ENSP00000312311,Q9H2W6,31705.0
ENSP00000317714,Q12846,34180.0
ENSP00000389649,P18859,12588.0
ENSP00000296328,O94888,54862.0
ENSP00000411471,Q9NUQ8,79745.0
ENSP00000362730,Q9NZJ7,41544.0
ENSP00000417580,Q2TAA2,27599.0
ENSP00000339145,Q14684,84428.0
ENSP00000053468,P82664,22999.0
ENSP00000322716,Q49A26,60547.0
ENSP00000263256,Q6ICB0,18263.0
ENSP00000460964,I3L448,38861.0
ENSP00000395196,Q5JPH6,58689.0
ENSP00000425487,O15327,104738.0
ENSP00000386284,P13716,36295.0
ENSP00000230048,Q9NPJ3,14960.0
ENSP00000339916,P53671,72232.0
ENSP00000458762,Q9HBL8,33344.0
ENSP00000382328,Q92802,67459.0
ENSP00000321449,Q9Y3A4,32334.0
ENSP00000290401,Q9Y639,44387.0
ENSP00000385787,Q99575,114709.0
ENSP00000264896,Q14108,54290.0
ENSP00000252512,Q9UIA9,123907.0
ENSP00000258874,P49914,23256.0
ENSP00000323967,Q969G3,46649.0
ENSP00000346148,Q13131,64009.0
ENSP00000378851,Q8NDC0,24269.0
ENSP00000390625,Q8WVV9,60083.0
ENSP00000361219,Q9UKN8,91982.0
ENSP00000359025,O00186,67764.0
ENSP00000354687,P03886,35661.0
ENSP00000260643,Q9HCU5,45468.0
ENSP00000290354,O75828,30850.0
ENSP00000345195,Q9UHD9,65696.0
ENSP00000262498,Q9Y6A4,22774.0
ENSP00000433919,P54105,26215.0
ENSP00000264663,Q13423,113896.0
ENSP00000355899,Q9Y3B9,31484.0
ENSP00000370625,P30876,133897.0
ENSP00000470034,Q9Y314,33172.0
ENSP00000356807,O75663,31444.0
ENSP00000316809,Q00169,31806.0
ENSP00000331748,,
ENSP00000382021,Q9UIC8,38379.0
ENSP00000254605,O43159,50715.0
ENSP00000444156,Q6NXE6,54142.0
ENSP00000307188,P04424,51658.0
ENSP00000381785,Q6YN16,45395.0
ENSP00000346300,P46109,33777.0
ENSP00000420682,Q9H974,46713.0
ENSP00000373404,Q5T653,33301.0
ENSP00000216277,P51003,82843.0
ENSP00000333948,Q86WX3,15434.0
ENSP00000263121,A0A0G2JRV3,38770.0
ENSP00000328023,P08240,69811.0
ENSP00000324205,Q9BY43,25098.0
ENSP00000362638,P49006,19529.0
ENSP00000290429,Q8IVS2,42962.0
ENSP00000245838,Q8NI27,182775.0
ENSP00000317473,P53611,36924.0
ENSP00000358060,Q9BW92,81036.0
ENSP00000398882,Q9BU89,32904.0
ENSP00000264649,Q93050,96413.0
ENSP00000405068,P78316,97668.0
ENSP00000418397,A0A0A0MT83,46319.0
ENSP00000291576,Q15269,102452.0
ENSP00000312250,Q9BRR6,54089.0
ENSP00000392617,Q92925,58921.0
ENSP00000348984,P18583,263830.0
ENSP00000417378,Q16864,13370.0
ENSP00000318480,Q96TA2,86455.0
ENSP00000339637,Q6PJG6,88119.0
ENSP00000375892,P31751,55769.0
ENSP00000348089,Q03468,168416.0
ENSP00000301246,Q9GZP8,10897.0
ENSP00000359988,Q05519,53542.0
ENSP00000229179,P57740,106374.0
ENSP00000369391,O75818,41834.0
ENSP00000378368,Q14254,47064.0
ENSP00000370194,O60547,41950.0
ENSP00000279263,O76062,46406.0
ENSP00000254770,Q9NS86,50854.0
ENSP00000338348,P60604,18566.0
ENSP00000369682,Q9BYN8,24212.0
ENSP00000354848,Q96EK5,71814.0
ENSP00000267425,Q86U38,69438.0
ENSP00000475168,O15258,22958.0
ENSP00000386788,Q969T4,22913.0
ENSP00000444029,P49790,153938.0
ENSP00000276201,Q9BZI7,57762.0
ENSP00000250124,O75352,26638.0
ENSP00000339532,Q9BV44,57003.0
ENSP00000405674,Q9UMY1,29426.0
ENSP00000290208,Q7Z7H8,29283.0
ENSP00000377914,Q6FI81,33582.0
ENSP00000264515,Q15291,59153.0
ENSP00000379346,Q9H2P0,123563.0
ENSP00000231368,Q9UIQ6,117349.0
ENSP00000273783,,
ENSP00000379721,P40818,127523.0
ENSP00000468927,Q9UGK3,44894.0
ENSP00000261769,P12830,97456.0
ENSP00000366748,Q9Y679,45787.0
ENSP00000399403,Q9H0B6,68935.0
ENSP00000362105,Q9Y3A2,30447.0
ENSP00000380037,Q8N6M3,29855.0
ENSP00000356599,Q9H497,46199.0
ENSP00000268482,Q92620,140503.0
ENSP00000374455,Q13501,47687.0
ENSP00000261308,Q96BP3,73575.0
ENSP00000251636,Q7Z478,155236.0
ENSP00000309142,Q6L8Q7,67352.0
ENSP00000267935,Q9H0A8,21764.0
ENSP00000412324,Q13362,61061.0
ENSP00000368887,Q9NWT1,43964.0
ENSP00000303482,Q9H6H4,29395.0
ENSP00000353475,O95471,22418.0
ENSP00000347719,Q9BTW9,132600.0
ENSP00000318641,Q68E01,118070.0
ENSP00000480821,Q86X29,71439.0
ENSP00000301788,P62487,19294.0
ENSP00000412302,O95983,32844.0
ENSP00000218089,Q8N3U4,141326.0
ENSP00000358616,O75940,26711.0
ENSP00000359295,Q01658,19444.0
ENSP00000367028,Q13428,152106.0
ENSP00000413606,Q15833,66453.0
ENSP00000000412,P20645,30993.0
ENSP00000354762,Q9Y2R0,11731.0
ENSP00000480186,A0A087WWF6,54695.0
ENSP00000333633,Q13330,80786.0
ENSP00000300403,Q9ULW0,85653.0
ENSP00000286648,P27707,30519.0
ENSP00000233627,O75251,23564.0
ENSP00000280551,O94855,113010.0
ENSP00000432568,O15020,271325.0
ENSP00000283195,P49792,358199.0
ENSP00000309092,Q9Y5P6,39834.0
ENSP00000265069,Q96KR1,117012.0
ENSP00000265594,Q96RQ3,80473.0
ENSP00000416097,A0A6Q8KRG2,111658.0
ENSP00000292363,Q9BV68,33861.0
ENSP00000222511,A4D1E9,42933.0
ENSP00000444171,Q8NCL4,71159.0
ENSP00000273064,Q92600,33631.0
ENSP00000353575,Q9NR50,50240.0
ENSP00000219481,Q9NUI1,30778.0
ENSP00000360269,P09758,35709.0
ENSP00000200135,O43264,88829.0
ENSP00000343701,P52294,60222.0
ENSP00000320663,Q9HC35,108916.0
ENSP00000368605,Q9Y305,49902.0
ENSP00000448182,Q8TC07,79491.0
ENSP00000340691,Q13541,12580.0
ENSP00000357292,Q9NRR5,63853.0
ENSP00000319531,P23434,18885.0
ENSP00000253083,O75146,119388.0
ENSP00000384259,Q9Y4P1,44294.0
ENSP00000315702,Q9Y3A3,26032.0
ENSP00000239891,Q9Y673,36946.0
ENSP00000326261,Q8IYB3,102335.0
ENSP00000247020,Q99470,23026.0
ENSP00000397927,F6VRR5,48104.0
ENSP00000353094,A0A5F9UP49,40937.0
ENSP00000345083,P46734,39318.0
ENSP00000401831,Q96CM8,68125.0
ENSP00000362751,Q9Y3P9,121737.0
ENSP00000283882,Q9UEE9,33593.0
ENSP00000351813,Q9NX47,31232.0
ENSP00000359042,Q5VTL8,64468.0
ENSP00000356864,O14880,16516.0
ENSP00000376899,Q9P2B2,98556.0
ENSP00000359339,Q8N884,58814.0
ENSP00000311713,O95747,58022.0
ENSP00000279068,Q9BX40,42071.0
ENSP00000263346,Q9BQ70,76667.0
ENSP00000256897,P51946,37643.0
ENSP00000229633,Q9NQE9,20361.0
ENSP00000366135,Q01780,100831.0
ENSP00000364595,Q92982,16345.0
ENSP00000253794,Q9BRG1,20748.0
ENSP00000295491,Q9Y3D5,15850.0
ENSP00000325421,Q9H300,42190.0
ENSP00000251496,Q9BPX3,114334.0
ENSP00000423822,Q8TED1,23881.0
ENSP00000385923,Q02818,53879.0
ENSP00000432487,Q96ER3,53558.0
ENSP00000297990,Q9H6R4,127593.0
ENSP00000215730,O95721,28970.0
ENSP00000413572,Q9NVX2,53320.0
ENSP00000309163,Q9Y256,35833.0
ENSP00000369461,O75521,43585.0
ENSP00000317904,P13807,83786.0
ENSP00000310208,Q9Y289,68642.0
ENSP00000393313,Q9UBC2,94255.0
ENSP00000306625,Q9BZE9,60183.0
ENSP00000286835,O95104,125869.0
ENSP00000297135,Q9UP83,94901.0
ENSP00000240617,Q6P4A8,63255.0
ENSP00000449756,F8VX04,56195.0
ENSP00000338814,Q9UL15,51200.0
ENSP00000443631,Q01970,138799.0
ENSP00000238497,O75351,49302.0
ENSP00000369217,Q9Y4X5,64118.0
ENSP00000282412,O75688,52643.0
ENSP00000334553,Q13356,58823.0
ENSP00000245934,Q92797,141148.0
ENSP00000442464,A0A0A0MTJ9,49881.0
ENSP00000364589,Q13619,87680.0
ENSP00000292616,Q9UFC0,70861.0
ENSP00000439170,Q15813,59346.0
ENSP00000356563,P56589,42140.0
ENSP00000353590,P35580,228999.0
ENSP00000264883,Q7Z3B4,55435.0
ENSP00000261483,Q16706,131141.0
ENSP00000386992,Q9UI26,112535.0
ENSP00000403902,Q8WUF5,89091.0
ENSP00000196061,Q02809,83550.0
ENSP00000359688,Q9H9Y2,40111.0
ENSP00000367029,Q9GZS1,47260.0
ENSP00000385080,P16930,46374.0
ENSP00000469836,Q567V2,23180.0
ENSP00000353458,Q9NRL2,178702.0
ENSP00000292147,O95571,27873.0
ENSP00000428489,Q96KB5,36085.0
ENSP00000207549,Q70J99,123282.0
ENSP00000338573,Q9NVN8,65573.0
ENSP00000355046,P03891,38961.0
ENSP00000240423,Q15003,82563.0
ENSP00000254630,Q96EY7,78550.0
ENSP00000231198,Q9NWX6,34831.0
ENSP00000361232,Q9H8H2,94087.0
ENSP00000368237,Q8NHH9,66229.0
ENSP00000394869,Q9UI10,57557.0
ENSP00000229595,Q9Y294,22969.0
ENSP00000359518,Q9NV56,22417.0
ENSP00000369055,P15291,43920.0
ENSP00000394085,Q6NYC1,46462.0
ENSP00000233596,Q96HR9,23418.0
ENSP00000244534,P16402,22350.0
ENSP00000324527,O94832,116202.0
ENSP00000350491,P49642,49902.0
ENSP00000235521,Q9UGM6,40147.0
ENSP00000368767,Q12797,85863.0
ENSP00000263461,Q9BZH6,136685.0
ENSP00000281141,O75794,39135.0
ENSP00000417190,Q8N5M1,32772.0
ENSP00000305442,P83436,86344.0
ENSP00000250448,P55317,49148.0
ENSP00000422607,P33121,77943.0
ENSP00000311825,P56545,48945.0
ENSP00000280800,Q8NHP8,65472.0
ENSP00000328088,Q96IZ0,36568.0
ENSP00000261854,Q8TCT8,58143.0
ENSP00000318016,Q12768,134286.0
ENSP00000393541,Q9BW83,20480.0
ENSP00000300456,Q6P1M0,72064.0
ENSP00000416583,Q9Y315,35231.0
ENSP00000342858,Q96AC1,77861.0
ENSP00000261249,Q32P41,58256.0
ENSP00000361892,Q13043,55630.0
ENSP00000267812,P55081,51958.0
ENSP00000349576,P32321,20016.0
ENSP00000465099,O15446,54986.0
ENSP00000256578,Q01433,94890.0
ENSP00000376465,Q14435,72610.0
ENSP00000380178,P62253,19509.0
ENSP00000350937,Q9UGI8,47996.0
ENSP00000331879,O60678,59903.0
ENSP00000345672,P07858,37822.0
ENSP00000215582,Q8IVT2,75357.0
ENSP00000336701,O43502,42190.0
ENSP00000363999,Q8N5N7,18325.0
ENSP00000355279,Q9UIV1,32745.0
ENSP00000264255,O14530,26534.0
ENSP00000433126,Q5BJD5,32513.0
ENSP00000260324,Q9Y6N5,49961.0
ENSP00000258169,Q99547,19024.0
ENSP00000460823,O75674,52989.0
ENSP00000356584,Q8NFQ8,51263.0
ENSP00000206542,Q9NPF4,36427.0
ENSP00000209873,Q9NRG9,59574.0
ENSP00000378350,Q9UJX2,68834.0
ENSP00000272645,O15514,16311.0
ENSP00000370460,Q6UX04,53847.0
ENSP00000261623,P13498,21013.0
ENSP00000261600,Q96FV9,75666.0
ENSP00000185150,Q96DZ1,54858.0
ENSP00000217958,O75832,24428.0
ENSP00000313921,Q9UJ68,26132.0
ENSP00000378624,Q5GLZ8,118563.0
ENSP00000309430,Q96S52,61656.0
ENSP00000325958,Q8WUK0,22844.0
ENSP00000320658,Q9Y2Z4,53199.0
ENSP00000362948,Q9BUE0,23663.0
ENSP00000254803,Q9NQZ2,54558.0
ENSP00000266263,Q9UDX5,18010.0
ENSP00000380402,P25325,33178.0
ENSP00000370588,P14209,18848.0
ENSP00000262374,Q9BT22,52518.0
ENSP00000216911,O14965,45823.0
ENSP00000419740,Q96CB9,43089.0
ENSP00000351100,Q9H6Y2,42070.0
ENSP00000446093,Q9BSJ2,102534.0
ENSP00000382091,Q6P6C2,44256.0
ENSP00000253861,Q96A65,110498.0
ENSP00000267064,Q8TAQ2,132879.0
ENSP00000372335,Q9H3P2,57277.0
ENSP00000383365,Q9NNW7,56507.0
ENSP00000039989,Q96AE7,129558.0
ENSP00000353910,Q9BYC5,66516.0
ENSP00000285420,A0A087X0W9,37326.0
ENSP00000269701,O43823,76108.0
ENSP00000417610,Q9ULC3,26659.0
ENSP00000265471,O94766,37122.0
ENSP00000261183,Q9BZF1,101196.0
ENSP00000247003,Q9Y6V7,54226.0
ENSP00000365233,P29144,138350.0
ENSP00000466967,Q9NXH9,72234.0
ENSP00000377601,A0A0B4J1V9,102715.0
ENSP00000356920,Q9UNI6,37687.0
ENSP00000361524,Q9NZ63,33688.0
ENSP00000302564,Q07817,26049.0
ENSP00000254730,P57772,65305.0
ENSP00000256594,P21266,26560.0
ENSP00000264689,Q9NUQ7,53261.0
ENSP00000363524,O95239,139881.0
ENSP00000348510,Q12789,238875.0
ENSP00000352264,Q9Y5K6,71451.0
ENSP00000366939,Q9BQP7,39421.0
ENSP00000386394,Q9GZT8,41968.0
ENSP00000379601,P51159,24868.0
ENSP00000333401,Q9NQ50,24490.0
ENSP00000261245,P51948,35823.0
ENSP00000261590,Q14126,122294.0
ENSP00000265271,Q9P2N5,118718.0
ENSP00000273375,Q5HYI8,26423.0
ENSP00000361032,Q15527,29618.0
ENSP00000454038,H0YNJ6,46938.0
ENSP00000156471,O60306,171295.0
ENSP00000380460,Q9Y263,87157.0
ENSP00000325863,P49959,80593.0
ENSP00000387170,Q6Y7W6,150070.0
ENSP00000262461,P55011,131447.0
ENSP00000229416,,
ENSP00000240316,P38432,62608.0
ENSP00000455607,P15735,46442.0
ENSP00000458954,Q99567,83542.0
ENSP00000271526,Q92733,52418.0
ENSP00000317327,P57075,74123.0
ENSP00000374529,O75909,64240.0
ENSP00000242576,P13051,34645.0
ENSP00000346442,Q12912,62122.0
ENSP00000353793,O75717,125967.0
ENSP00000254928,O75616,48350.0
ENSP00000363779,O95163,150254.0
ENSP00000347532,A0MZ66,71640.0
ENSP00000358716,Q9UHI6,92241.0
ENSP00000368632,P23771,47916.0
ENSP00000367024,Q86UY6,27194.0
ENSP00000471896,Q14653,47219.0
ENSP00000292476,O95639,30255.0
ENSP00000381823,O95486,119749.0
ENSP00000353463,Q86YP4,68063.0
ENSP00000297056,Q8NCG7,73732.0
ENSP00000260385,Q96TC7,52118.0
ENSP00000261893,P83111,60694.0
ENSP00000396628,Q9Y6I9,34189.0
ENSP00000308193,Q8TDP1,17840.0
ENSP00000301021,Q9UL33,16146.0
ENSP00000470652,Q96K37,44773.0
ENSP00000160827,Q14807,73262.0
ENSP00000253329,Q8WUA2,57225.0
ENSP00000339883,Q14739,70703.0
ENSP00000360727,Q3YEC7,79549.0
ENSP00000278618,Q9NRN7,35776.0
ENSP00000292211,Q7Z7E8,46127.0
ENSP00000299427,O14773,61248.0
ENSP00000261745,Q14CX7,112292.0
ENSP00000360803,Q5SXM8,19204.0
ENSP00000274458,Q9Y6G5,22966.0
ENSP00000216468,Q6PL24,35740.0
ENSP00000378254,Q32P44,95197.0
ENSP00000358072,Q9H1Y0,32447.0
ENSP00000428564,O95487,137418.0
ENSP00000338788,Q8WU90,48602.0
ENSP00000303908,Q6IBS0,39548.0
ENSP00000352167,Q8N8R3,32062.0
ENSP00000314193,Q8IWA0,94499.0
ENSP00000199814,Q9NW64,46896.0
ENSP00000379911,Q9BS16,31655.0
ENSP00000467024,P54725,39609.0
ENSP00000343412,Q9NXR7,43552.0
ENSP00000262887,P18887,69498.0
ENSP00000262213,Q15629,43072.0
ENSP00000371811,Q8IYU8,49666.0
ENSP00000373772,Q5VTR2,113662.0
ENSP00000344220,O15530,63152.0
ENSP00000263934,O60333,204476.0
ENSP00000353072,Q93084,109256.0
ENSP00000262753,Q8WVV4,68065.0
ENSP00000316357,Q93008,290463.0
ENSP00000342148,Q9NRX6,8294.0
ENSP00000372326,A0A499FJN5,40230.0
ENSP00000282541,Q8N335,38419.0
ENSP00000300093,P53350,68255.0
ENSP00000257904,P11802,33730.0
ENSP00000359170,Q9BVM2,23240.0
ENSP00000309640,Q8NBI6,43807.0
ENSP00000262878,Q9Y3Z3,72201.0
ENSP00000436901,Q92785,44155.0
ENSP00000394183,Q96HQ2,13196.0
ENSP00000363001,Q92485,50814.0
ENSP00000258662,Q9NV35,18609.0
ENSP00000384638,P26232,105313.0
ENSP00000314649,P51649,57215.0
ENSP00000419475,Q86X83,22745.0
ENSP00000410833,Q04446,80474.0
ENSP00000260818,O75165,254415.0
ENSP00000385000,O00139,79955.0
ENSP00000253107,Q9NQ55,53194.0
ENSP00000327650,Q9H267,70585.0
ENSP00000238379,Q9BSH5,28000.0
ENSP00000346874,Q8WVX9,59357.0
ENSP00000335636,P61599,20368.0
ENSP00000352400,P35658,213620.0
